name,country,year
"Ban, N",Japan,2006
"Ban, N",United States,2006
"Bao, Lei",United States,2008
"Bao, Lei",United States,2009
"Bao, Lei",China,2015
"Bao, Lei",United States,2015
"Bao, Lei",United States,2016
"Bao, Lei",United States,2017
"Bao, Lei",United States,2019
"Bao, Lei",United States,2020
"Bao, Lei",United States,2021
"Bao, Lei",United States,2022
"Bao, Lei",United States,2023
"Bao, Lei",United States,2024
"CHEN, J",Pr 00708 Usa,1993
"CHEN, J",United States,1993
"CHEN, M",Israel,1995
"CHEN, M",United States,1995
"Cao, Chen",United States,2009
"Cao, Chen",China,2023
"Cao, Jun",United States,2016
"Cao, Jun",China,2020
"Chai, Ching-Sing",Singapore,2009
"Chai, Ching-Sing",Singapore,2012
"Chai, Ching-Sing",China,2023
"Chang, D",Israel,1998
"Chang, D",United Kingdom,1998
"Chang, D",United States,1998
"Chang, Daniel",United States,2017
"Chang, Daniel",Canada,2021
"Chang, Jina",Australia,2022
"Chang, Jina",South Korea,2022
"Chang, Yu-Hui",China,2014
"Chang, Yu-Hui",United States,2017
"Chang, Yu-Hui",United States,2018
"Chang, Yu-Hui",United States,2020
"Che, ShaoPeng",South Korea,2022
"Che, ShaoPeng",China,2023
"Chen, Anna",Canada,2023
"Chen, Anna",United States,2024
"Chen, Bo",United States,2013
"Chen, Bo",China,2021
"Chen, Chen",United States,2019
"Chen, Chen",Netherlands,2020
"Chen, Chen",United States,2020
"Chen, Chen",Netherlands,2021
"Chen, Chen",United States,2021
"Chen, Chen",United States,2022
"Chen, Chen",China,2023
"Chen, Chen",United States,2024
"Chen, David",Israel,2010
"Chen, David",Australia,2019
"Chen, Fu",Canada,2020
"Chen, Fu",China,2024
"Chen, George",Australia,2018
"Chen, George",Australia,2021
"Chen, George",United States,2021
"Chen, Honglin",Australia,2012
"Chen, Honglin",Australia,2016
"Chen, Honglin",Australia,2017
"Chen, Honglin",Australia,2021
"Chen, Honglin",Australia,2024
"Chen, Honglin",China,2024
"Chen, Honglin",Finland,2024
"Chen, Hui",United States,2014
"Chen, Hui",Australia,2016
"Chen, Hui",Australia,2020
"Chen, Hui",Australia,2022
"Chen, Jie",China,2017
"Chen, Jie",China,2020
"Chen, Jie",United States,2021
"Chen, Jie",United States,2023
"Chen, Jie",United States,2024
"Chen, Jin",United States,2017
"Chen, Jin",China,2024
"Chen, Jing",United States,2006
"Chen, Jing",China,2022
"Chen, Jing",United States,2023
"Chen, Jing",China,2024
"Chen, Katherine",China,2017
"Chen, Katherine",United States,2020
"Chen, Li",United States,2009
"Chen, Li",China,2015
"Chen, Li",United States,2015
"Chen, Li",China,2017
"Chen, Li",United States,2017
"Chen, Li",China,2019
"Chen, Li",Germany,2023
"Chen, Li",Japan,2023
"Chen, Liang",United States,2022
"Chen, Liang",Canada,2023
"Chen, Lihua",Australia,2021
"Chen, Lihua",China,2023
"Chen, Lin",China,2023
"Chen, Lin",China,2024
"Chen, Lin",Malaysia,2024
"Chen, Lin",New Zealand,2024
"Chen, Mary XiaoRong",Singapore,2024
"Chen, Mary XiaoRong",United Kingdom,2024
"Chen, Ning",China,2021
"Chen, Ning",Finland,2021
"Chen, Ning",Finland,2024
"Chen, Qin",United States,2010
"Chen, Qin",Australia,2023
"Chen, Sarah",United States,2021
"Chen, Sarah",Ireland,2023
"Chen, Susan",Australia,2022
"Chen, Susan",United States,2024
"Chen, TY",Australia,2004
"Chen, TY",China,2004
"Chen, Teresa",United States,2018
"Chen, Teresa",United States,2019
"Chen, Teresa",Canada,2021
"Chen, Victoria",Canada,2014
"Chen, Victoria",Canada,2015
"Chen, Victoria",United States,2015
"Chen, Victoria",Canada,2017
"Chen, Victoria",United States,2019
"Chen, Wei",United Kingdom,2010
"Chen, Wei",United States,2017
"Chen, Wei",United States,2018
"Chen, Wei",United Arab Emirates,2020
"Chen, Wei",United Arab Emirates,2021
"Chen, Wei",United States,2024
"Chen, Xi",Canada,2012
"Chen, Xi",United States,2014
"Chen, Xi",United States,2018
"Chen, Xi",China,2023
"Chen, Yan",China,2010
"Chen, Yan",New Zealand,2015
"Chen, Yan",New Zealand,2017
"Chen, Yan",United States,2019
"Chen, Yan",New Zealand,2020
"Chen, Yan",New Zealand,2021
"Chen, Yan",New Zealand,2022
"Chen, Yan",United States,2022
"Chen, Yan",New Zealand,2023
"Chen, Yan",United States,2024
"Chen, Yi",United States,2014
"Chen, Yi",China,2022
"Chen, Yong",United States,2013
"Chen, Yong",United States,2014
"Chen, Yong",Switzerland,2019
"Chen, Yong",United States,2023
"Chen, Yu",China,2020
"Chen, Yu",United States,2020
"Chen, Yu",United States,2021
"Chen, Yu",United States,2022
"Chen, Yu",China,2023
"Chen, Yu",United States,2024
"Cheng, Jiaming",China,2023
"Cheng, Jiaming",United States,2023
"Cheng, Zui",United States,2018
"Cheng, Zui",United States,2019
"Cheng, Zui",United States,2020
"Cheng, Zui",China,2022
"Cheng, Zui",United States,2022
"Cheng, Zui",China,2023
"Chi, MTH",Israel,2000
"Chi, MTH",United States,2000
"Chi, Michelene T. H.",South Korea,2007
"Chi, Michelene T. H.",United States,2007
"Chi, Michelene T. H.",United States,2012
"Chi, Michelene T. H.",United States,2013
"Chi, Michelene T. H.",United States,2017
"Chi, Michelene T. H.",United States,2018
"Chi, Michelene T. H.",United States,2021
"Chong, Kyle L.",South Korea,2024
"Chong, Kyle L.",United States,2024
"Chu, Hye-Eun",Australia,2008
"Chu, Hye-Eun",United States,2011
"Chu, Hye-Eun",Australia,2020
"Chu, Yoosun",United States,2018
"Chu, Yoosun",South Korea,2021
"Cui, Dan",Canada,2011
"Cui, Dan",Canada,2017
"Cui, Dan",United States,2017
"Dai, David Wei",Australia,2023
"Dai, David Wei",Australia,2024
"Dai, David Wei",United Kingdom,2024
"Dai, David Yun",United States,2007
"Dai, David Yun",United States,2011
"Dai, David Yun",China,2013
"Dai, David Yun",United States,2013
"Dai, David Yun",China,2015
"Dai, David Yun",United States,2015
"Dai, David Yun",United States,2020
"Dai, Kun",Australia,2020
"Dai, Kun",China,2021
"Dai, Kun",China,2023
"Dai, Kun",China,2024
"Dai, Yun",United States,2015
"Dai, Yun",United States,2019
"Dai, Yun",China,2023
"Deng, Feng",Singapore,2010
"Deng, Feng",Singapore,2011
"Deng, Feng",Singapore,2013
"Deng, Feng",China,2017
"Ding, Yi",United States,2014
"Ding, Yi",United States,2017
"Ding, Yi",United States,2018
"Ding, Yi",United States,2019
"Ding, Yi",United States,2021
"Ding, Yi",United States,2023
"Ding, Yi",China,2024
"Ding, Yi",United States,2024
"Dong, Chaoyan",United States,2013
"Dong, Chaoyan",Singapore,2015
"Dong, Chaoyan",Singapore,2023
"Dong, Chaoyan",Singapore,2024
"Dong, Yanning",Canada,2015
"Dong, Yanning",China,2018
"Dong, Yanning",Canada,2021
"Er, Erkan",United States,2015
"Er, Erkan",United States,2018
"Er, Erkan",Spain,2021
"Er, Erkan",Turkey,2024
"Fan, Lianghuo",Singapore,2007
"Fan, Lianghuo",United Kingdom,2013
"Fan, Lianghuo",United Kingdom,2014
"Fan, Xitao",United States,2008
"Fan, Xitao",United States,2009
"Fan, Xitao",United States,2011
"Fan, Xitao",China,2013
"Fan, Xitao",China,2015
"Fan, Xitao",China,2016
"Fan, Xitao",China,2017
"Fan, Xitao",China,2018
"Fan, Xitao",China,2019
"Fan, Xitao",China,2022
"Fan, Yizhou",United Kingdom,2022
"Fan, Yizhou",Australia,2024
"Fan, Yizhou",China,2024
"Feng, Lei",Sweden,2021
"Feng, Lei",Thailand,2024
"Fu, Jun",United States,2021
"Fu, Jun",United States,2023
"Fu, Jun",Australia,2024
"Fu, Xiaoxiao",United States,2014
"Fu, Xiaoxiao",Malaysia,2022
"Gan, Samuel Ken-En",Singapore,2016
"Gan, Samuel Ken-En",China,2022
"Gan, Samuel Ken-En",Singapore,2022
"Gao, Catherine Yuan",Australia,2020
"Gao, Catherine Yuan",China,2024
"Gao, Ping",Singapore,2009
"Gao, Ping",Singapore,2010
"Gao, Ping",Singapore,2011
"Gao, Ping",United States,2012
"Gao, Xingyuan",United States,2019
"Gao, Xingyuan",China,2020
"Gao, Xingyuan",China,2024
"Gao, Xuesong (Andy)",Australia,2019
"Gao, Xuesong (Andy)",China,2019
"Gao, Xuesong (Andy)",Australia,2020
"Gao, Xuesong (Andy)",Australia,2021
"Gao, Xuesong (Andy)",Australia,2022
"Gao, Xuesong (Andy)",Australia,2023
"Gao, Xuesong (Andy)",Australia,2024
"Gao, Yang",United States,2019
"Gao, Yang",Canada,2022
"Gao, Yuan",Australia,2015
"Gao, Yuan",Australia,2018
"Gao, Yuan",Australia,2019
"Gao, Yuan",Australia,2020
"Gao, Yuan",Australia,2021
"Gao, Yuan",China,2023
"Guan, JM",Spain,2005
"Guan, JM",United States,2005
"Guan, JM",United States,2006
"Guo, Jiajun",China,2018
"Guo, Jiajun",United States,2020
"Guo, Jiajun",China,2021
"Guo, Jiajun",China,2024
"Guo, Jing",United States,2007
"Guo, Jing",Malaysia,2024
"Guo, Yan",Canada,2017
"Guo, Yan",China,2018
"Guo, Yan",Canada,2022
"Guo, Yawei",United States,2018
"Guo, Yawei",United States,2020
"Guo, Yawei",United States,2021
"Guo, Yawei",China,2023
"Guo, Yawei",China,2024
"Ha, Kotdaji",South Korea,2020
"Ha, Kotdaji",United States,2020
"Ha, Minsu",United States,2011
"Ha, Minsu",United States,2012
"Ha, Minsu",United States,2014
"Ha, Minsu",South Korea,2015
"Ha, Minsu",South Korea,2018
"Ha, Minsu",South Korea,2019
"Ha, Minsu",South Korea,2020
"Ha, Minsu",South Korea,2021
"Ha, Minsu",South Korea,2022
"Ha, Minsu",South Korea,2023
"Ha, Minsu",South Korea,2024
"Ha, Phan Le",Australia,2014
"Ha, Phan Le",Brunei,2019
"Ha, Phan Le",United States,2019
"Ha, Phan Le",Brunei,2020
"Ha, Phan Le",United States,2020
"Ha, Phan Le",Brunei,2023
"Ha, Tu Anh",Spain,2024
"Ha, Tu Anh",Vietnam,2024
"Ha, Xuan Van",Vietnam,2022
"Ha, Xuan Van",Australia,2023
"Ha, Xuan Van",Vietnam,2023
"Ha, Xuan Van",Vietnam,2024
"Han, Amy",Italy,2011
"Han, Amy",Italy,2016
"Han, Amy",United States,2024
"Han, Brenna",Canada,2022
"Han, Brenna",United Kingdom,2022
"Han, Feifei",Australia,2012
"Han, Feifei",Australia,2016
"Han, Feifei",Australia,2017
"Han, Feifei",Australia,2019
"Han, Feifei",Australia,2020
"Han, Feifei",Australia,2021
"Han, Feifei",Australia,2022
"Han, Feifei",Australia,2023
"Han, Feifei",Austria,2023
"Han, Feifei",Australia,2024
"Han, Han",Canada,2006
"Han, Han",Canada,2019
"Han, Han",Norway,2024
"Han, Insook",South Korea,2014
"Han, Insook",United States,2016
"Han, Insook",United States,2019
"Han, Insook",United States,2020
"Han, Insook",United States,2021
"Han, Insook",United States,2022
"Han, Insuk",South Korea,2024
"Han, Insuk",United Kingdom,2024
"Han, Lu",Canada,2017
"Han, Lu",China,2021
"Han, Shuangmiao",United Kingdom,2015
"Han, Shuangmiao",United Kingdom,2016
"Han, Shuangmiao",United Kingdom,2017
"Han, Shuangmiao",China,2019
"Han, Shuangmiao",China,2023
"Han, Sunyoung",United States,2015
"Han, Sunyoung",South Korea,2019
"Han, T",Israel,1998
"Han, T",United States,1998
"Han, Wei",United States,2018
"Han, Wei",China,2024
"Han, Wei",Thailand,2024
"Han, Xue",United States,2008
"Han, Xue",United States,2016
"Han, Xue",China,2018
"Han, Youngsook",South Korea,2021
"Han, Youngsook",United States,2021
"Hao, Jie",Australia,2012
"Hao, Jie",United States,2018
"Hao, Jie",United States,2022
"He, Meizi",Canada,2011
"He, Meizi",United States,2011
"He, Meizi",United States,2016
"He, Tao",Belgium,2017
"He, Tao",Belgium,2018
"He, Tao",China,2019
"He, Wei",United States,2014
"He, Wei",China,2024
"He, Xuehong (Stella)",United States,2019
"He, Xuehong (Stella)",United Kingdom,2024
"He, Yueying",China,2019
"He, Yueying",United States,2021
"Heng, Kimkong",Australia,2020
"Heng, Kimkong",Australia,2022
"Heng, Kimkong",Australia,2023
"Heng, Kimkong",Cambodia,2023
"Heng, Kimkong",Australia,2024
"Heng, Kimkong",Cambodia,2024
"Hong, Ee Rea",United States,2014
"Hong, Ee Rea",South Korea,2020
"Hong, Jun Sung",South Korea,2016
"Hong, Jun Sung",United States,2016
"Hong, Jun Sung",South Korea,2018
"Hong, Jun Sung",United States,2018
"Hong, Jun Sung",South Korea,2024
"Hong, Jun Sung",United States,2024
"Hong, KS",Malaysia,2003
"Hong, KS",New Zealand,2003
"Hong, S",South Korea,2001
"Hong, S",United States,2001
"Hong, S",South Korea,2003
"Hong, S",United States,2003
"Hong, SH",South Korea,2005
"Hong, SH",United States,2005
"Hong, Ye Yoon",Thailand,2009
"Hong, Ye Yoon",South Korea,2015
"Hu, Amanda",United States,2012
"Hu, Amanda",Canada,2022
"Hu, Amanda",Canada,2023
"Hu, Bo",United States,2005
"Hu, Bo",United States,2006
"Hu, Bo",United Kingdom,2012
"Hu, Bo",United States,2017
"Hu, Guangwei",Singapore,2010
"Hu, Guangwei",Singapore,2014
"Hu, Guangwei",Singapore,2015
"Hu, Guangwei",Singapore,2016
"Hu, Guangwei",Singapore,2017
"Hu, Guangwei",Singapore,2018
"Hu, Guangwei",China,2023
"Hu, Jie",United States,2008
"Hu, Jie",United States,2012
"Hu, Jie",United States,2013
"Hu, Jie",China,2024
"Hu, Jing",United States,2005
"Hu, Jing",China,2018
"Hu, Ming",China,2012
"Hu, Ming",United States,2019
"Hu, Ran",United States,2013
"Hu, Ran",Canada,2021
"Hu, Ran",Canada,2022
"Hu, Ran",Canada,2024
"Hu, Xin",Australia,2016
"Hu, Xin",China,2016
"Hu, Xin",Australia,2024
"Hu, Xin",United States,2024
"Hu, Yang",United Kingdom,2018
"Hu, Yang",United States,2021
"Hu, Yuanyuan",New Zealand,2022
"Hu, Yuanyuan",Netherlands,2024
"Hua, Jing",United States,2021
"Hua, Jing",Japan,2023
"Huang, Feifei",New Zealand,2021
"Huang, Feifei",China,2024
"Huang, Hung-Tzu",China,2007
"Huang, Hung-Tzu",United States,2007
"Huang, Jing",United Kingdom,2021
"Huang, Jing",China,2024
"Huang, Jing",United States,2024
"Huang, Jiun-Hau",Canada,2007
"Huang, Jiun-Hau",United States,2007
"Huang, Lingyun",Canada,2021
"Huang, Lingyun",China,2024
"Huang, Rong",United Kingdom,2007
"Huang, Rong",United Kingdom,2013
"Huang, Rong",United Kingdom,2014
"Huang, Rong",United Kingdom,2016
"Huang, Rong",United Kingdom,2018
"Huang, Rong",United Kingdom,2019
"Huang, Rong",United Kingdom,2023
"Huang, Rong",United Kingdom,2024
"Huang, Rong",United States,2024
"Huang, Siqi",Canada,2020
"Huang, Siqi",Thailand,2024
"Huang, Siqi",United States,2024
"Huang, Ting",Netherlands,2022
"Huang, Ting",United States,2023
"Huang, Ting",United States,2024
"Huang, Ying",United States,2012
"Huang, Ying",United States,2016
"Huang, Ying",China,2022
"Huang, Yun",Chile,2023
"Huang, Yun",United States,2023
"Huang, Yun",Chile,2024
"Ji, Feng",Canada,2023
"Ji, Feng",United States,2023
"Jia, Fan",United States,2020
"Jia, Fan",China,2024
"Jia, Fan",United States,2024
"Jiang, Heng",Singapore,2019
"Jiang, Heng",United States,2019
"Jiang, Ke",United States,2016
"Jiang, Ke",New Zealand,2022
"Jiang, Ke",New Zealand,2024
"Jiang, Nan",United States,2007
"Jiang, Nan",United Kingdom,2011
"Jiang, Nan",China,2024
"Jiang, Songyu",Australia,2024
"Jiang, Songyu",Thailand,2024
"Jiang, Yang",United States,2020
"Jiang, Yang",United States,2021
"Jiang, Yang",Thailand,2022
"Jiang, Zhehan",United States,2019
"Jiang, Zhehan",United States,2020
"Jiang, Zhehan",China,2022
"Jiang, Zhehan",China,2023
"Jiao, Yang",United States,2021
"Jiao, Yang",Malaysia,2023
"Jin, Hui",United States,2010
"Jin, Hui",China,2012
"Jin, Hui",United States,2015
"Jin, Hui",United States,2016
"Jin, Hui",United States,2019
"Jin, Hui",United States,2021
"Jin, Hui",United States,2024
"Jin, Li",United States,2007
"Jin, Li",United States,2013
"Jin, Li",United States,2015
"Jin, Li",United States,2018
"Jin, Li",United States,2019
"Jin, Li",United Kingdom,2022
"Jin, Li",United States,2022
"Jin, Li",United States,2024
"Jin, Seunghee",United States,2015
"Jin, Seunghee",South Korea,2024
"Jin, Yan",China,2014
"Jin, Yan",Australia,2016
"Jin, Yan",China,2017
"Jin, Yan",Australia,2018
"Jin, Yan",China,2020
"Jin, Ying",United States,2014
"Jin, Ying",United States,2016
"Jin, Ying",New Zealand,2017
"Jin, Ying",United States,2020
"Jin, Ying",United States,2022
"Kang, Dae Joong",United States,2007
"Kang, Dae Joong",South Korea,2017
"Kang, Eun Young",South Korea,2019
"Kang, Eun Young",Canada,2020
"Kang, Eun Young",South Korea,2023
"Kang, Hosun",United States,2010
"Kang, Hosun",United States,2011
"Kang, Hosun",United States,2021
"Kang, Hosun",South Korea,2022
"Kang, Hosun",United States,2022
"Kang, Hosun",United States,2023
"Kang, Hosun",United States,2024
"Kang, Ji Hye",South Korea,2011
"Kang, Ji Hye",United States,2018
"Kang, Jina",United States,2008
"Kang, Jina",United States,2014
"Kang, Jina",United States,2016
"Kang, Jina",South Korea,2017
"Kang, Jina",United States,2017
"Kang, Jina",United States,2021
"Kang, Jina",United States,2022
"Kang, Jina",United States,2024
"Kang, M.",South Korea,2013
"Kang, M.",Finland,2024
"Kang, Mee Joo",Ghana,2020
"Kang, Mee Joo",South Korea,2020
"Kang, Minchul",South Korea,2018
"Kang, Minchul",South Korea,2020
"Kang, Minchul",United States,2024
Khang Do Ba,Vietnam,2017
Khang Do Ba,Thailand,2018
"LONG, MH",Australia,1994
"LONG, MH",Japan,1994
"LONG, MH",United States,1994
"Lai, Chun",United States,2009
"Lai, Chun",China,2011
"Lai, Chun",China,2012
"Lai, Chun",China,2017
"Lai, Chun",China,2024
"Lai, F",Canada,1997
"Lai, F",United States,1997
"Lai, KW",Malaysia,2003
"Lai, KW",New Zealand,2003
"Lai, P",Australia,1999
"Lai, P",China,1999
"Lai, P",United States,1999
"Lai, Yvonne",United States,2014
"Lai, Yvonne",United States,2019
"Lai, Yvonne",Australia,2020
"Lai, Yvonne",United States,2023
"Lai, Yvonne",United States,2024
"Lang, Daniel",Canada,2009
"Lang, Daniel",Germany,2016
"Lang, Jonas W. B.",Germany,2007
"Lang, Jonas W. B.",Belgium,2014
"Le, Andrew",United States,2021
"Le, Andrew",Australia,2024
"Le, Ha Van",Vietnam,2022
"Le, Ha Van",Vietnam,2023
"Le, Ha Van",Malaysia,2024
"Le, Ha Van",Vietnam,2024
"Le, Thu Thi-Kim",Canada,2024
"Le, Thu Thi-Kim",Vietnam,2024
"Le, Tri D.",Australia,2019
"Le, Tri D.",Vietnam,2019
"Le, Tri D.",Australia,2020
"Le, Tri D.",Vietnam,2020
"Le, Viet",Australia,2024
"Le, Viet",United States,2024
"Lei, Jun",Singapore,2014
"Lei, Jun",Singapore,2015
"Lei, Jun",Singapore,2016
"Lei, Jun",United Kingdom,2021
"Lei, Jun",China,2023
"Leng, Paul H.",Israel,2007
"Leng, Paul H.",United Kingdom,2007
"Leng, Phirom",Canada,2016
"Leng, Phirom",Cambodia,2021
"Li, Bo",China,2018
"Li, Bo",United States,2018
"Li, Bo",China,2019
"Li, Bo",United States,2020
"Li, Bo",United States,2022
"Li, Chengcheng",United States,2015
"Li, Chengcheng",United States,2021
"Li, Chengcheng",China,2023
"Li, Chunxiao",Singapore,2012
"Li, Chunxiao",China,2021
"Li, Dan",United States,2013
"Li, Dan",China,2016
"Li, Dan",United States,2018
"Li, Dan",United States,2020
"Li, Dan",United States,2021
"Li, Dan",China,2024
"Li, Dongmei",Australia,2014
"Li, Dongmei",United States,2022
"Li, Dongmei",Australia,2023
"Li, Dongmei",Australia,2024
"Li, Fan",Australia,2021
"Li, Fan",Netherlands,2021
"Li, Fan",Australia,2023
"Li, Fangxuan (Sam)",New Zealand,2019
"Li, Fangxuan (Sam)",New Zealand,2020
"Li, Fangxuan (Sam)",China,2021
"Li, Hao",China,2022
"Li, Hao",China,2023
"Li, Hao",China,2024
"Li, Hao",Japan,2024
"Li, Hui",China,2016
"Li, Hui",China,2018
"Li, Hui",China,2019
"Li, Hui",Australia,2020
"Li, Hui",China,2020
"Li, Hui",Australia,2021
"Li, Hui",China,2022
"Li, Hui",South Korea,2024
"Li, Hui-Chuan",Brunei,2017
"Li, Hui-Chuan",Brunei,2018
"Li, Hui-Chuan",United Kingdom,2022
"Li, Ian W.",Australia,2017
"Li, Ian W.",Australia,2020
"Li, Ian W.",Australia,2022
"Li, Ian W.",Germany,2022
"Li, Ian W.",Australia,2023
"Li, Ian W.",Australia,2024
"Li, Jia",China,2008
"Li, Jia",Canada,2015
"Li, Jia",Canada,2017
"Li, Jia",Canada,2018
"Li, Jia",Canada,2019
"Li, Jia",China,2021
"Li, Jia",Canada,2022
"Li, Jia",Canada,2023
"Li, Jia",United Kingdom,2024
"Li, Jian",Germany,2014
"Li, Jian",United States,2023
"Li, Jian",United States,2024
"Li, Jiaqi",United States,2014
"Li, Jiaqi",United States,2018
"Li, Jiaqi",United States,2021
"Li, Jiaqi",China,2024
"Li, Jie",China,2018
"Li, Jie",United States,2019
"Li, Jing",United States,2014
"Li, Jing",United States,2017
"Li, Jing",United States,2018
"Li, Jing",United States,2019
"Li, Jing",Canada,2021
"Li, Jing",United Kingdom,2021
"Li, Jonathan",Australia,2018
"Li, Jonathan",United States,2024
"Li, Jun",United Kingdom,2005
"Li, Jun",Canada,2023
"Li, Jun",China,2023
"Li, Jun",Thailand,2023
"Li, Lei",United States,2017
"Li, Lei",United States,2018
"Li, Lei",China,2024
"Li, Li",United States,2011
"Li, Li",United Kingdom,2012
"Li, Li",United Kingdom,2014
"Li, Li",United Kingdom,2017
"Li, Li",United Kingdom,2018
"Li, Li",China,2021
"Li, Li",China,2022
"Li, Li",Canada,2024
"Li, Liming",China,2007
"Li, Liming",United States,2020
"Li, Lin",Canada,2024
"Li, Lin",United States,2024
"Li, Linda Y.",Australia,2008
"Li, Linda Y.",Australia,2011
"Li, Linda Y.",United States,2011
"Li, Ling",Canada,2020
"Li, Ling",Canada,2022
"Li, Ling",China,2022
"Li, Lu",United States,2019
"Li, Lu",China,2020
"Li, Lu",China,2022
"Li, Miao",China,2011
"Li, Miao",Canada,2013
"Li, Miao",United States,2018
"Li, Miao",United States,2022
"Li, Mimi",China,2013
"Li, Mimi",United States,2013
"Li, Mimi",United States,2018
"Li, Mimi",United States,2022
"Li, Mimi",United States,2023
"Li, Mimi",United States,2024
"Li, Ming",United States,2015
"Li, Ming",United States,2017
"Li, Ming",Japan,2024
"Li, Na",United Kingdom,2006
"Li, Na",United States,2020
"Li, Nai",United Kingdom,2007
"Li, Nai",Singapore,2013
"Li, Nai",United Kingdom,2016
"Li, Nai",United Kingdom,2017
"Li, Nai",United Kingdom,2020
"Li, Peng",China,2018
"Li, Peng",United States,2023
"Li, Qing",United States,2008
"Li, Qing",Canada,2010
